Order,Family,Preservation,Origin,Inventory,Digitised,,
Lepidoptera,Choreutidae,Pinned,New Zealand,560,14,,
Lepidoptera,Coleophoridae,Pinned,New Zealand,200,27,,
Lepidoptera,Copromorphidae,Pinned,New Zealand,75,3,,
Lepidoptera,Cosmopterigidae,Pinned,New Zealand,195,13,,
Lepidoptera,Cossidae,Pinned,New Zealand,1,0,,
Lepidoptera,Crambidae,Pinned,New Zealand,10257,585,,
Lepidoptera,Depressariidae,Pinned,New Zealand,940,8,,
Lepidoptera,Elachistidae,Pinned,New Zealand,1250,209,,
Lepidoptera,Epermeniidae,Pinned,New Zealand,10,1,,
Lepidoptera,Erebidae,Pinned,New Zealand,913,164,,
Lepidoptera,Gelechiidae,Pinned,New Zealand,1472,154,,
Lepidoptera,Geometridae,Pinned,New Zealand,22220,2340,,
Lepidoptera,Glyphipterigidae,Pinned,New Zealand,1635,44,,
Lepidoptera,Gracillariidae,Pinned,New Zealand,970,76,,
Lepidoptera,Hepialidae,Pinned,New Zealand,6308,1395,,
Lepidoptera,Lycaenidae,Pinned,New Zealand,1026,14,,
Lepidoptera,Micropterygidae,Pinned,New Zealand,976,19,,
Lepidoptera,Mnesarchaeidae,Pinned,New Zealand,608,21,,
Lepidoptera,Momphidae,Pinned,New Zealand,190,0,,
Lepidoptera,Nepticulidae,Pinned,New Zealand,1012,26,,
Lepidoptera,Noctuidae,Pinned,New Zealand,12368,857,,
Lepidoptera,Nolidae,Pinned,New Zealand,13,0,,
Lepidoptera,Nymphalidae,Pinned,New Zealand,945,11,,
Lepidoptera,Oecophoridae,Pinned,New Zealand,5827,552,,
Lepidoptera,Pieridae,Pinned,New Zealand,77,49,,
Lepidoptera,Plutellidae,Pinned,New Zealand,710,76,,
Lepidoptera,Psychidae,Pinned,New Zealand,893,87,,
Lepidoptera,Pterolonchidae,Pinned,New Zealand,57,0,,
Lepidoptera,Pterophoridae,Pinned,New Zealand,767,22,,
Lepidoptera,Pyralidae,Pinned,New Zealand,1153,70,,
